transcript.id	blastn.besthit
TRINITY_DN145252_c3_g1_i1	Bacteroides xylanisolvens
TRINITY_DN145261_c61_g1_i4	Faecalibacterium prausnitzii
TRINITY_DN145292_c1_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN145300_c5_g1_i3	Faecalibacterium prausnitzii
TRINITY_DN145272_c4_g1_i1	Bacteroides xylanisolvens
TRINITY_DN145304_c3_g1_i2	Faecalibacterium sp.
TRINITY_DN145297_c11_g1_i1	Uncultured human fecal virus clone
TRINITY_DN145245_c6_g1_i2	Uncultured human fecal virus clone
TRINITY_DN145245_c6_g1_i5	Uncultured human fecal virus clone
TRINITY_DN145291_c1_g1_i10	Bacteroides dorei
TRINITY_DN145291_c1_g1_i13	Bacteroides dorei
TRINITY_DN145291_c1_g1_i22	Bacteroides dorei
TRINITY_DN145264_c2_g1_i1	Faecalibacterium sp.
TRINITY_DN120464_c0_g1_i1	Flavonifractor plautii
TRINITY_DN137096_c2_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN137096_c3_g3_i1	Faecalibacterium prausnitzii
TRINITY_DN143985_c1_g7_i1	Roseburia sp.
TRINITY_DN144001_c5_g1_i7	Faecalibacterium sp.
TRINITY_DN143974_c9_g2_i1	Dorea longicatena
TRINITY_DN144025_c2_g1_i1	Dorea longicatena
TRINITY_DN140448_c4_g7_i2	Phocaeicola vulgatus
TRINITY_DN133076_c0_g4_i1	Escherichia coli
TRINITY_DN144424_c2_g1_i2	Faecalibacterium sp.
TRINITY_DN144415_c2_g1_i4	Bacteroides stercoris
TRINITY_DN144384_c5_g1_i3	Bacteroides caccae
TRINITY_DN141948_c0_g1_i1	Parabacteroides merdae
TRINITY_DN134643_c0_g1_i1	Parabacteroides merdae
TRINITY_DN144196_c3_g1_i2	Uncultured human fecal virus clone
TRINITY_DN144196_c3_g1_i4	Uncultured human fecal virus clone
TRINITY_DN144187_c0_g1_i10	Uncultured human fecal virus clone
TRINITY_DN145141_c0_g1_i13	Faecalibacterium sp.
TRINITY_DN145209_c1_g1_i7	Faecalibacterium prausnitzii
TRINITY_DN145228_c1_g1_i7	Uncultured bacterium clone
TRINITY_DN136668_c3_g2_i2	Bacteroides xylanisolvens
TRINITY_DN138543_c2_g6_i1	Dysosmobacter sp.
TRINITY_DN138543_c2_g6_i2	Phocaeicola vulgatus
TRINITY_DN142388_c1_g1_i2	Faecalibacterium prausnitzii
TRINITY_DN142340_c0_g1_i1	Ruminococcus sp.
TRINITY_DN142402_c3_g5_i2	Ruminococcus sp.
TRINITY_DN143487_c2_g1_i3	Faecalibacterium prausnitzii
TRINITY_DN143457_c1_g1_i1	Vitreoscilla sp.
TRINITY_DN141022_c2_g2_i1	Faecalibacterium sp.
TRINITY_DN140952_c1_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN138674_c4_g1_i1	Ruminococcus bicirculans
TRINITY_DN138681_c7_g1_i1	Siphoviridae sp.
TRINITY_DN145391_c5_g1_i6	Faecalibacterium prausnitzii
TRINITY_DN145391_c5_g1_i9	Faecalibacterium prausnitzii
TRINITY_DN145389_c1_g1_i12	Faecalibacterium sp.
TRINITY_DN145360_c4_g1_i1	Phocaeicola vulgatus
TRINITY_DN145367_c3_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN145422_c2_g1_i12	Faecalibacterium prausnitzii
TRINITY_DN145373_c0_g1_i2	Bacteriophage sp.
TRINITY_DN145401_c1_g1_i2	Faecalibacterium prausnitzii
TRINITY_DN145854_c3_g1_i2	Faecalibacterium prausnitzii
TRINITY_DN145839_c0_g1_i20	Bacteroides ovatus
TRINITY_DN141075_c3_g1_i1	Eubacterium eligens
TRINITY_DN141075_c3_g1_i2	Eubacterium eligens
TRINITY_DN144474_c1_g1_i1	Faecalibacterium sp.
TRINITY_DN144465_c6_g1_i3	Faecalibacterium prausnitzii
TRINITY_DN144518_c0_g1_i3	Faecalibacterium prausnitzii
TRINITY_DN144483_c7_g1_i1	Uncultured organism
TRINITY_DN144291_c5_g7_i1	Bacteroides humanifaecis
TRINITY_DN141713_c1_g2_i1	Pseudoclostridium thermosuccinogenes
TRINITY_DN141713_c1_g2_i3	Pseudoclostridium thermosuccinogenes
TRINITY_DN131149_c0_g2_i1	Microviridae sp.
TRINITY_DN131100_c0_g1_i5	Anaerostipes hadrus
TRINITY_DN129538_c3_g1_i1	Simiaoa sunii
TRINITY_DN134571_c44_g1_i3	Caudovirales sp.
TRINITY_DN144747_c1_g1_i4	Faecalibacterium sp.
TRINITY_DN144771_c2_g7_i2	Siphoviridae sp.
TRINITY_DN144754_c1_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN144811_c2_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN144811_c2_g1_i2	Faecalibacterium sp.
TRINITY_DN144823_c1_g2_i1	Faecalibacterium sp.
TRINITY_DN144825_c5_g1_i5	Faecalibacterium prausnitzii
TRINITY_DN142823_c1_g1_i2	Romboutsia ilealis
TRINITY_DN142739_c1_g1_i1	Romboutsia ilealis
TRINITY_DN135950_c1_g1_i1	Eubacterium rectale
TRINITY_DN136156_c0_g2_i2	Phocaeicola vulgatus
TRINITY_DN136118_c0_g1_i1	Phocaeicola vulgatus
TRINITY_DN137258_c5_g1_i6	Blautia massiliensis
TRINITY_DN137631_c5_g1_i2	Bacteroides ovatus
TRINITY_DN136903_c2_g1_i6	Bacteroides dorei
TRINITY_DN136922_c1_g3_i3	Faecalibacterium prausnitzii
TRINITY_DN134023_c3_g2_i2	Blautia wexlerae
TRINITY_DN144555_c1_g1_i8	Bacteroides dorei
TRINITY_DN144624_c4_g1_i1	Bacteroides dorei
TRINITY_DN144558_c2_g1_i2	Faecalibacterium prausnitzii
TRINITY_DN144559_c1_g1_i11	Faecalibacterium prausnitzii
TRINITY_DN144610_c1_g1_i1	Subdoligranulum variabile
TRINITY_DN131740_c0_g1_i1	Blautia wexlerae
TRINITY_DN144044_c6_g1_i2	Eubacterium sp.
TRINITY_DN144044_c6_g1_i4	Eubacterium sp.
TRINITY_DN144063_c5_g2_i1	Dorea longicatena
TRINITY_DN142969_c1_g1_i4	Paraprevotella xylaniphila
TRINITY_DN143020_c3_g1_i1	Siphoviridae sp.
TRINITY_DN143018_c39_g5_i1	Siphoviridae sp.
TRINITY_DN143018_c39_g5_i2	Subdoligranulum variabile
TRINITY_DN143018_c44_g10_i2	Parabacteroides merdae
TRINITY_DN130289_c0_g1_i1	Parabacteroides merdae
TRINITY_DN131424_c0_g1_i4	Bifidobacterium pseudocatenulatum
TRINITY_DN138312_c4_g6_i3	Phocaeicola vulgatus
TRINITY_DN143683_c0_g2_i1	Faecalibacterium prausnitzii
TRINITY_DN143683_c0_g1_i8	Faecalibacterium prausnitzii
TRINITY_DN141378_c0_g1_i1	Ruminococcus torques
TRINITY_DN133276_c1_g1_i1	Ruminococcus torques
TRINITY_DN145983_c5_g3_i1	Faecalibacterium sp.
TRINITY_DN142174_c7_g1_i1	Faecalibacterium sp.
TRINITY_DN142178_c2_g1_i3	Faecalibacterium prausnitzii
TRINITY_DN138200_c2_g1_i1	Bacteroides faecis
TRINITY_DN142309_c15_g5_i3	Myoviridae sp.
TRINITY_DN137350_c1_g1_i5	Phocaeicola vulgatus
TRINITY_DN139333_c4_g6_i1	Bacteroides uniformis
TRINITY_DN151468_c5_g1_i1	Faecalibacterium sp.
TRINITY_DN140874_c2_g1_i5	Faecalibacterium prausnitzii
TRINITY_DN140874_c2_g1_i6	Faecalibacterium prausnitzii
TRINITY_DN137133_c9_g1_i1	Clostridiales sp.
TRINITY_DN144937_c0_g1_i11	Faecalibacterium prausnitzii
TRINITY_DN145016_c4_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN145016_c4_g1_i5	Faecalibacterium prausnitzii
TRINITY_DN144974_c2_g2_i18	Faecalibacterium sp.
TRINITY_DN144971_c2_g1_i1	Pusillimonas faecalis
TRINITY_DN142115_c6_g1_i3	Faecalibacterium prausnitzii
TRINITY_DN142033_c3_g2_i1	Faecalibacterium prausnitzii
TRINITY_DN142033_c4_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN145774_c5_g2_i5	Faecalibacterium duncaniae
TRINITY_DN145741_c0_g1_i2	Faecalibacterium sp.
TRINITY_DN139116_c3_g1_i4	Faecalibacterium prausnitzii
TRINITY_DN145435_c1_g1_i3	Faecalibacterium sp.
TRINITY_DN145502_c1_g1_i5	Faecalibacterium prausnitzii
TRINITY_DN145467_c1_g1_i7	Faecalibacterium prausnitzii
TRINITY_DN145457_c2_g1_i4	Uncultured human fecal virus clone
TRINITY_DN145458_c4_g1_i1	Faecalibacterium sp.
TRINITY_DN145477_c0_g1_i4	Faecalibacterium sp.
TRINITY_DN383657_c1_g2_i1	Faecalibacterium sp.
TRINITY_DN385865_c1_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN391824_c1_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN32023_c2_g1_i2	Lachnospiraceae bacterium
TRINITY_DN85531_c0_g1_i1	Lachnospiraceae bacterium
TRINITY_DN92149_c2_g3_i1	Faecalibacterium sp.
TRINITY_DN60060_c0_g9_i1	Caudovirales sp.
TRINITY_DN85643_c0_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN7230_c1_g2_i2	Faecalibacterium prausnitzii
TRINITY_DN851511_c0_g1_i1	Faecalibacterium prausnitzii
TRINITY_DN1090249_c1_g1_i1	Parabacteroides johnsonii
TRINITY_DN1091132_c10_g1_i1	Parabacteroides johnsonii
