genome	base	coverage
scaffold_11136	113	5
scaffold_11136	114	5
scaffold_11136	115	5
scaffold_11136	116	5
scaffold_11136	117	5
scaffold_11136	118	5
scaffold_11136	119	5
scaffold_11136	120	5
scaffold_11136	121	5
scaffold_11136	122	5
scaffold_11136	123	5
scaffold_11136	124	5
scaffold_11136	125	5
scaffold_11136	126	5
scaffold_11136	127	5
scaffold_11136	128	5
scaffold_11136	129	5
scaffold_11136	130	5
scaffold_11136	131	5
scaffold_11136	132	5
scaffold_11136	133	4
scaffold_11136	134	4
scaffold_11136	135	4
scaffold_11136	136	4
scaffold_11136	137	4
scaffold_11136	138	4
scaffold_11136	139	4
scaffold_11136	140	4
scaffold_11136	141	4
scaffold_11136	142	4
scaffold_11136	143	4
scaffold_11136	144	4
scaffold_11136	145	4
scaffold_11136	146	3
scaffold_11136	147	3
scaffold_11136	148	3
scaffold_11136	149	3
scaffold_11136	150	3
scaffold_11136	151	3
scaffold_11136	152	3
scaffold_11136	153	3
scaffold_11136	154	3
scaffold_11136	155	3
scaffold_11136	156	3
scaffold_11136	157	3
scaffold_11136	158	3
scaffold_11136	159	3
scaffold_11136	160	4
scaffold_11136	161	4
scaffold_11136	162	4
scaffold_11136	163	4
scaffold_11136	164	4
scaffold_11136	165	4
scaffold_11136	166	4
scaffold_11136	167	4
scaffold_11136	168	4
scaffold_11136	169	4
scaffold_11136	170	4
scaffold_11136	171	4
scaffold_11136	172	4
scaffold_11136	173	5
scaffold_11136	174	5
scaffold_11136	175	5
scaffold_11136	176	5
scaffold_11136	177	6
scaffold_11136	178	6
scaffold_11136	179	5
scaffold_11136	180	5
scaffold_11136	181	5
scaffold_11136	182	5
scaffold_11136	183	5
scaffold_11136	184	5
scaffold_11136	185	5
scaffold_11136	186	5
scaffold_11136	187	5
scaffold_11136	188	5
scaffold_11136	189	4
scaffold_11136	190	4
scaffold_11136	191	4
scaffold_11136	192	4
scaffold_11136	193	4
scaffold_11136	194	4
scaffold_11136	195	4
scaffold_11136	196	4
scaffold_11136	197	4
scaffold_11136	198	4
scaffold_11136	199	4
scaffold_11136	200	4
scaffold_11136	201	4
scaffold_11136	202	4
scaffold_11136	203	4
scaffold_11136	204	4
scaffold_11136	205	4
scaffold_11136	206	4
scaffold_11136	207	4
scaffold_11136	208	4
scaffold_11136	209	4
scaffold_11136	210	4
scaffold_11136	211	4
scaffold_11136	212	4
scaffold_11136	213	4
scaffold_11136	214	4
scaffold_11136	215	4
scaffold_11136	216	5
scaffold_11136	217	5
scaffold_11136	218	5
scaffold_11136	219	5
scaffold_11136	220	5
scaffold_11136	221	5
scaffold_11136	222	5
scaffold_11136	223	5
scaffold_11136	224	5
scaffold_11136	225	5
scaffold_11136	226	5
scaffold_11136	227	5
scaffold_11136	228	5
scaffold_11136	229	4
scaffold_11136	230	4
scaffold_11136	231	4
scaffold_11136	232	4
scaffold_11136	233	4
scaffold_11136	234	4
scaffold_11136	235	4
scaffold_11136	236	4
scaffold_11136	237	4
scaffold_11136	238	4
scaffold_11136	239	4
scaffold_11136	240	4
scaffold_11136	241	4
scaffold_11136	242	4
scaffold_11136	243	4
scaffold_11136	244	4
scaffold_11136	245	4
scaffold_11136	246	4
scaffold_11136	247	4
scaffold_11136	248	4
scaffold_11136	249	4
scaffold_11136	250	4
scaffold_11136	251	4
scaffold_11136	252	4
scaffold_11136	253	4
scaffold_11136	254	4
scaffold_11136	255	4
scaffold_11136	256	4
scaffold_11136	257	4
scaffold_11136	258	4
scaffold_11136	259	4
scaffold_11136	260	5
scaffold_11136	261	5
scaffold_11136	262	5
scaffold_11136	263	5
scaffold_11136	264	5
scaffold_11136	265	5
scaffold_11136	266	5
scaffold_11136	267	5
scaffold_11136	268	5
scaffold_11136	269	5
scaffold_11136	270	5
scaffold_11136	271	5
scaffold_11136	272	5
scaffold_11136	273	5
scaffold_11136	274	5
scaffold_11136	275	5
scaffold_11136	276	5
scaffold_11136	277	5
scaffold_11136	278	5
scaffold_11136	279	5
scaffold_11136	280	5
scaffold_11136	281	5
scaffold_11136	282	5
scaffold_11136	283	5
scaffold_11136	284	5
scaffold_11136	285	5
scaffold_11136	286	5
scaffold_11136	287	5
scaffold_11136	288	5
scaffold_11136	289	5
scaffold_11136	290	6
scaffold_11136	291	5
scaffold_11136	292	5
scaffold_11136	293	5
scaffold_11136	294	5
scaffold_11136	295	5
scaffold_11136	296	5
scaffold_11136	297	5
scaffold_11136	298	5
scaffold_11136	299	5
scaffold_11136	300	5
scaffold_11136	301	4
scaffold_11136	302	4
scaffold_11136	303	4
scaffold_11136	304	4
scaffold_11136	305	4
scaffold_11136	306	4
scaffold_11136	307	3
scaffold_11136	308	3
scaffold_11136	309	3
scaffold_11136	310	3
scaffold_11136	311	3
scaffold_11136	312	3
scaffold_11136	313	3
scaffold_11136	314	3
scaffold_11136	315	3
scaffold_11136	316	3
scaffold_11136	317	3
scaffold_11136	318	3
scaffold_11136	319	3
scaffold_11136	320	3
scaffold_11136	321	3
scaffold_11136	322	3
scaffold_11136	323	3
scaffold_11136	324	3
scaffold_11136	325	3
scaffold_11136	326	3
scaffold_11136	327	3
scaffold_11136	328	3
scaffold_11136	329	3
scaffold_11136	330	3
scaffold_11136	331	4
scaffold_11136	332	4
scaffold_11136	333	4
scaffold_11136	334	4
scaffold_11136	335	4
scaffold_11136	336	4
scaffold_11136	337	4
scaffold_11136	338	4
scaffold_11136	339	4
scaffold_11136	340	4
scaffold_11136	341	4
scaffold_11136	342	4
scaffold_11136	343	4
scaffold_11136	344	5
scaffold_11136	345	5
scaffold_11136	346	5
scaffold_11136	347	5
scaffold_11136	348	4
scaffold_11136	349	4
scaffold_11136	350	4
scaffold_11136	351	4
scaffold_11136	352	4
scaffold_11136	353	4
scaffold_11136	354	4
scaffold_11136	355	4
scaffold_11136	356	4
scaffold_11136	357	4
scaffold_11136	358	4
scaffold_11136	359	4
scaffold_11136	360	4
scaffold_11136	361	4
scaffold_11136	362	4
scaffold_11136	363	5
scaffold_11136	364	5
scaffold_11136	365	5
scaffold_11136	366	5
scaffold_11136	367	5
scaffold_11136	368	5
scaffold_11136	369	5
scaffold_11136	370	5
scaffold_11136	371	5
scaffold_11136	372	5
scaffold_11136	373	5
scaffold_11136	374	5
scaffold_11136	375	5
scaffold_11136	376	5
scaffold_11136	377	5
scaffold_11136	378	5
scaffold_11136	379	5
scaffold_11136	380	5
scaffold_11136	381	5
scaffold_11136	382	5
scaffold_11136	383	5
scaffold_11136	384	5
scaffold_11136	385	5
scaffold_11136	386	5
scaffold_11136	387	5
scaffold_11136	388	5
scaffold_11136	389	5
scaffold_11136	390	5
scaffold_11136	391	5
scaffold_11136	392	4
scaffold_11136	393	4
scaffold_11136	394	4
scaffold_11136	395	4
scaffold_11136	396	4
scaffold_11136	397	4
scaffold_11136	398	4
scaffold_11136	399	4
scaffold_11136	400	4
scaffold_11136	401	4
scaffold_11136	402	4
scaffold_11136	403	4
scaffold_11136	404	4
scaffold_11136	405	4
scaffold_11136	406	4
scaffold_11136	407	4
scaffold_11136	408	4
scaffold_11136	409	4
scaffold_11136	410	4
scaffold_11136	411	4
scaffold_11136	412	4
scaffold_11136	413	4
scaffold_11136	414	4
scaffold_11136	415	4
scaffold_11136	416	4
scaffold_11136	417	4
scaffold_11136	418	4
scaffold_11136	419	4
scaffold_11136	420	4
scaffold_11136	421	4
scaffold_11136	422	4
scaffold_11136	423	4
scaffold_11136	424	4
scaffold_11136	425	4
scaffold_11136	426	4
scaffold_11136	427	4
scaffold_11136	428	4
scaffold_11136	429	4
scaffold_11136	430	4
scaffold_11136	431	4
scaffold_11136	432	4
scaffold_11136	433	4
scaffold_11136	434	4
scaffold_11136	435	4
scaffold_11136	436	4
scaffold_11136	437	4
scaffold_11136	438	4
scaffold_11136	439	4
scaffold_11136	440	4
scaffold_11136	441	4
scaffold_11136	442	4
scaffold_11136	443	4
scaffold_11136	444	4
scaffold_11136	445	4
scaffold_11136	446	4
scaffold_11136	447	4
scaffold_11136	448	4
scaffold_11136	449	4
scaffold_11136	450	4
scaffold_11136	451	4
scaffold_11136	452	4
scaffold_11136	453	4
scaffold_11136	454	4
scaffold_11136	455	4
scaffold_11136	456	4
scaffold_11136	457	4
scaffold_11136	458	4
scaffold_11136	459	4
scaffold_11136	460	3
scaffold_11136	461	3
scaffold_11136	462	2
scaffold_11136	463	2
scaffold_11136	464	2
scaffold_11136	465	2
scaffold_11136	466	2
scaffold_11136	467	2
scaffold_11136	468	3
scaffold_11136	469	3
scaffold_11136	470	3
scaffold_11136	471	3
scaffold_11136	472	3
scaffold_11136	473	4
scaffold_11136	474	4
scaffold_11136	475	4
scaffold_11136	476	4
scaffold_11136	477	4
scaffold_11136	478	3
scaffold_11136	479	3
scaffold_11136	480	3
scaffold_11136	481	3
scaffold_11136	482	3
scaffold_11136	483	3
scaffold_11136	484	3
scaffold_11136	485	3
scaffold_11136	486	3
scaffold_11136	487	3
scaffold_11136	488	3
scaffold_11136	489	5
scaffold_11136	490	5
scaffold_11136	491	5
scaffold_11136	492	5
scaffold_11136	493	5
scaffold_11136	494	5
scaffold_11136	495	5
scaffold_11136	496	6
scaffold_11136	497	6
scaffold_11136	498	6
scaffold_11136	499	6
scaffold_11136	500	6
scaffold_11136	501	6
scaffold_11136	502	6
scaffold_11136	503	6
scaffold_11136	504	6
scaffold_11136	505	6
scaffold_11136	506	6
scaffold_11136	507	6
scaffold_11136	508	6
scaffold_11136	509	6
scaffold_11136	510	6
scaffold_11136	511	6
scaffold_11136	512	6
scaffold_11136	513	7
scaffold_11136	514	8
scaffold_11136	515	8
scaffold_11136	516	8
scaffold_11136	517	8
scaffold_11136	518	8
scaffold_11136	519	8
scaffold_11136	520	8
scaffold_11136	521	8
scaffold_11136	522	8
scaffold_11136	523	8
scaffold_11136	524	8
scaffold_11136	525	8
scaffold_11136	526	9
scaffold_11136	527	9
scaffold_11136	528	9
scaffold_11136	529	9
scaffold_11136	530	9
scaffold_11136	531	10
scaffold_11136	532	10
scaffold_11136	533	10
scaffold_11136	534	10
scaffold_11136	535	10
scaffold_11136	536	9
scaffold_11136	537	9
scaffold_11136	538	9
scaffold_11136	539	9
scaffold_11136	540	9
scaffold_11136	541	9
scaffold_11136	542	9
scaffold_11136	543	9
scaffold_11136	544	9
scaffold_11136	545	9
scaffold_11136	546	9
scaffold_11136	547	9
scaffold_11136	548	9
scaffold_11136	549	9
scaffold_11136	550	8
scaffold_11136	551	8
scaffold_11136	552	9
scaffold_11136	553	9
scaffold_11136	554	8
scaffold_11136	555	8
scaffold_11136	556	8
scaffold_11136	557	8
scaffold_11136	558	8
scaffold_11136	559	8
scaffold_11136	560	8
scaffold_11136	561	8
scaffold_11136	562	8
scaffold_11136	563	8
scaffold_11136	564	8
scaffold_11136	565	9
scaffold_11136	566	9
scaffold_11136	567	9
scaffold_11136	568	9
scaffold_11136	569	9
scaffold_11136	570	9
scaffold_11136	571	10
scaffold_11136	572	10
scaffold_11136	573	10
scaffold_11136	574	10
scaffold_11136	575	10
scaffold_11136	576	10
scaffold_11136	577	10
scaffold_11136	578	10
scaffold_11136	579	10
scaffold_11136	580	10
scaffold_11136	581	10
scaffold_11136	582	11
scaffold_11136	583	11
scaffold_11136	584	11
scaffold_11136	585	11
scaffold_11136	586	11
scaffold_11136	587	11
scaffold_11136	588	11
scaffold_11136	589	12
scaffold_11136	590	12
scaffold_11136	591	12
scaffold_11136	592	13
scaffold_11136	593	14
scaffold_11136	594	14
scaffold_11136	595	14
scaffold_11136	596	14
scaffold_11136	597	14
scaffold_11136	598	14
scaffold_11136	599	13
scaffold_11136	600	12
scaffold_11136	601	12
scaffold_11136	602	12
scaffold_11136	603	13
scaffold_11136	604	13
scaffold_11136	605	13
scaffold_11136	606	13
scaffold_11136	607	13
scaffold_11136	608	13
scaffold_11136	609	12
scaffold_11136	610	12
scaffold_11136	611	11
scaffold_11136	612	11
scaffold_11136	613	10
scaffold_11136	614	10
scaffold_11136	615	10
scaffold_11136	616	10
scaffold_11136	617	10
scaffold_11136	618	9
scaffold_11136	619	8
scaffold_11136	620	8
scaffold_11136	621	8
scaffold_11136	622	9
scaffold_11136	623	9
scaffold_11136	624	9
scaffold_11136	625	9
scaffold_11136	626	9
scaffold_11136	627	9
scaffold_11136	628	12
scaffold_11136	629	12
scaffold_11136	630	12
scaffold_11136	631	12
scaffold_11136	632	12
scaffold_11136	633	12
scaffold_11136	634	12
scaffold_11136	635	12
scaffold_11136	636	12
scaffold_11136	637	12
scaffold_11136	638	12
scaffold_11136	639	12
scaffold_11136	640	12
scaffold_11136	641	12
scaffold_11136	642	12
scaffold_11136	643	12
scaffold_11136	644	12
scaffold_11136	645	12
scaffold_11136	646	12
scaffold_11136	647	12
scaffold_11136	648	12
scaffold_11136	649	13
scaffold_11136	650	13
scaffold_11136	651	13
scaffold_11136	652	13
scaffold_11136	653	13
scaffold_11136	654	13
scaffold_11136	655	13
scaffold_11136	656	14
scaffold_11136	657	14
scaffold_11136	658	13
scaffold_11136	659	13
scaffold_11136	660	13
scaffold_11136	661	13
scaffold_11136	662	13
scaffold_11136	663	13
scaffold_11136	664	13
scaffold_11136	665	13
scaffold_11136	666	13
scaffold_11136	667	13
scaffold_11136	668	13
scaffold_11136	669	13
scaffold_11136	670	13
scaffold_11136	671	13
scaffold_11136	672	13
scaffold_11136	673	13
scaffold_11136	674	13
scaffold_11136	675	13
scaffold_11136	676	12
scaffold_11136	677	12
scaffold_11136	678	12
scaffold_11136	679	12
scaffold_11136	680	11
scaffold_11136	681	11
scaffold_11136	682	11
scaffold_11136	683	11
scaffold_11136	684	11
scaffold_11136	685	11
scaffold_11136	686	11
scaffold_11136	687	11
scaffold_11136	688	11
scaffold_11136	689	10
scaffold_11136	690	11
scaffold_11136	691	11
scaffold_11136	692	11
scaffold_11136	693	11
scaffold_11136	694	10
scaffold_11136	695	10
scaffold_11136	696	10
scaffold_11136	697	10
scaffold_11136	698	10
scaffold_11136	699	10
scaffold_11136	700	10
scaffold_11136	701	10
scaffold_11136	702	10
scaffold_11136	703	9
scaffold_11136	704	10
scaffold_11136	705	10
scaffold_11136	706	10
scaffold_11136	707	11
scaffold_11136	708	11
scaffold_11136	709	11
scaffold_11136	710	11
scaffold_11136	711	13
scaffold_11136	712	13
scaffold_11136	713	13
scaffold_11136	714	12
scaffold_11136	715	12
scaffold_11136	716	12
scaffold_11136	717	12
scaffold_11136	718	12
scaffold_11136	719	13
scaffold_11136	720	13
scaffold_11136	721	13
scaffold_11136	722	15
scaffold_11136	723	15
scaffold_11136	724	14
scaffold_11136	725	14
scaffold_11136	726	14
scaffold_11136	727	14
scaffold_11136	728	14
scaffold_11136	729	14
scaffold_11136	730	14
scaffold_11136	731	14
scaffold_11136	732	14
scaffold_11136	733	14
scaffold_11136	734	14
scaffold_11136	735	14
scaffold_11136	736	14
scaffold_11136	737	14
scaffold_11136	738	14
scaffold_11136	739	14
scaffold_11136	740	14
scaffold_11136	741	14
scaffold_11136	742	14
scaffold_11136	743	14
scaffold_11136	744	14
scaffold_11136	745	14
scaffold_11136	746	14
scaffold_11136	747	14
scaffold_11136	748	14
scaffold_11136	749	14
scaffold_11136	750	14
scaffold_11136	751	14
scaffold_11136	752	14
scaffold_11136	753	14
scaffold_11136	754	14
scaffold_11136	755	14
scaffold_11136	756	14
scaffold_11136	757	13
scaffold_11136	758	13
scaffold_11136	759	13
scaffold_11136	760	13
scaffold_11136	761	13
scaffold_11136	762	12
scaffold_11136	763	12
scaffold_11136	764	12
scaffold_11136	765	12
scaffold_11136	766	12
scaffold_11136	767	12
scaffold_11136	768	13
scaffold_11136	769	13
scaffold_11136	770	13
scaffold_11136	771	13
scaffold_11136	772	13
scaffold_11136	773	13
scaffold_11136	774	13
scaffold_11136	775	13
scaffold_11136	776	13
scaffold_11136	777	13
scaffold_11136	778	14
scaffold_11136	779	14
scaffold_11136	780	13
scaffold_11136	781	13
scaffold_11136	782	13
scaffold_11136	783	13
scaffold_11136	784	13
scaffold_11136	785	12
scaffold_11136	786	12
scaffold_11136	787	12
scaffold_11136	788	12
scaffold_11136	789	12
scaffold_11136	790	12
scaffold_11136	791	12
scaffold_11136	792	12
scaffold_11136	793	13
scaffold_11136	794	13
scaffold_11136	795	13
scaffold_11136	796	13
scaffold_11136	797	13
scaffold_11136	798	13
scaffold_11136	799	13
scaffold_11136	800	13
scaffold_11136	801	13
scaffold_11136	802	13
scaffold_11136	803	13
scaffold_11136	804	13
scaffold_11136	805	13
scaffold_11136	806	14
scaffold_11136	807	14
scaffold_11136	808	14
scaffold_11136	809	14
scaffold_11136	810	14
scaffold_11136	811	14
scaffold_11136	812	14
scaffold_11136	813	14
scaffold_11136	814	14
scaffold_11136	815	14
scaffold_11136	816	14
scaffold_11136	817	14
scaffold_11136	818	14
scaffold_11136	819	13
scaffold_11136	820	13
scaffold_11136	821	13
scaffold_11136	822	13
scaffold_11136	823	13
scaffold_11136	824	13
scaffold_11136	825	13
scaffold_11136	826	13
scaffold_11136	827	13
scaffold_11136	828	12
scaffold_11136	829	12
scaffold_11136	830	12
scaffold_11136	831	12
scaffold_11136	832	12
scaffold_11136	833	12
scaffold_11136	834	12
scaffold_11136	835	12
scaffold_11136	836	11
scaffold_11136	837	11
scaffold_11136	838	9
scaffold_11136	839	9
scaffold_11136	840	9
scaffold_11136	841	9
scaffold_11136	842	9
scaffold_11136	843	8
scaffold_11136	844	8
scaffold_11136	845	8
scaffold_11136	846	8
scaffold_11136	847	7
scaffold_11136	848	7
scaffold_11136	849	7
scaffold_11136	850	7
scaffold_11136	851	6
scaffold_11136	852	6
scaffold_11136	853	5
scaffold_11136	854	5
scaffold_11136	855	6
scaffold_11136	856	6
scaffold_11136	857	6
scaffold_11136	858	6
scaffold_11136	859	6
scaffold_11136	860	6
scaffold_11136	861	6
scaffold_11136	862	6
scaffold_11136	863	6
scaffold_11136	864	6
scaffold_11136	865	6
scaffold_11136	866	6
scaffold_11136	867	6
scaffold_11136	868	6
scaffold_11136	869	6
scaffold_11136	870	6
scaffold_11136	871	6
scaffold_11136	872	6
scaffold_11136	873	6
scaffold_11136	874	8
scaffold_11136	875	8
scaffold_11136	876	8
scaffold_11136	877	8
scaffold_11136	878	9
scaffold_11136	879	9
scaffold_11136	880	9
scaffold_11136	881	9
scaffold_11136	882	9
scaffold_11136	883	9
scaffold_11136	884	9
scaffold_11136	885	9
scaffold_11136	886	9
scaffold_11136	887	9
scaffold_11136	888	9
scaffold_11136	889	9
scaffold_11136	890	9
scaffold_11136	891	8
scaffold_11136	892	8
scaffold_11136	893	8
scaffold_11136	894	8
scaffold_11136	895	8
scaffold_11136	896	8
scaffold_11136	897	8
scaffold_11136	898	8
scaffold_11136	899	8
scaffold_11136	900	8
scaffold_11136	901	8
scaffold_11136	902	8
scaffold_11136	903	8
scaffold_11136	904	8
scaffold_11136	905	8
scaffold_11136	906	8
scaffold_11136	907	8
scaffold_11136	908	8
scaffold_11136	909	8
scaffold_11136	910	7
scaffold_11136	911	7
scaffold_11136	912	7
scaffold_11136	913	7
scaffold_11136	914	7
scaffold_11136	915	7
scaffold_11136	916	7
scaffold_11136	917	7
scaffold_11136	918	7
scaffold_11136	919	6
scaffold_11136	920	6
scaffold_11136	921	6
scaffold_11136	922	6
scaffold_11136	923	6
scaffold_11136	924	6
scaffold_11136	925	5
scaffold_11136	926	5
scaffold_11136	927	5
scaffold_11136	928	5
scaffold_11136	929	5
scaffold_11136	930	4
scaffold_11136	931	4
scaffold_11136	932	4
scaffold_11136	933	4
scaffold_11136	934	4
scaffold_11136	935	4
scaffold_11136	936	4
scaffold_11136	937	3
scaffold_11136	938	3
scaffold_11136	939	3
scaffold_11136	940	3
scaffold_11136	941	3
scaffold_11136	942	3
scaffold_11136	943	3
scaffold_11136	944	3
scaffold_11136	945	3
scaffold_11136	946	3
scaffold_11136	947	3
scaffold_11136	948	3
scaffold_11136	949	3
scaffold_11136	950	3
scaffold_11136	951	3
scaffold_11136	952	3
scaffold_11136	953	3
scaffold_11136	954	3
scaffold_11136	955	3
scaffold_11136	956	3
scaffold_11136	957	3
scaffold_11136	958	3
scaffold_11136	959	3
scaffold_11136	960	3
scaffold_11136	961	3
scaffold_11136	962	4
scaffold_11136	963	4
scaffold_11136	964	4
scaffold_11136	965	6
scaffold_11136	966	6
scaffold_11136	967	6
scaffold_11136	968	6
scaffold_11136	969	6
scaffold_11136	970	6
scaffold_11136	971	6
scaffold_11136	972	6
scaffold_11136	973	6
scaffold_11136	974	6
scaffold_11136	975	6
scaffold_11136	976	6
scaffold_11136	977	6
scaffold_11136	978	6
scaffold_11136	979	6
scaffold_11136	980	6
scaffold_11136	981	6
scaffold_11136	982	7
scaffold_11136	983	8
scaffold_11136	984	8
scaffold_11136	985	8
scaffold_11136	986	8
scaffold_11136	987	8
scaffold_11136	988	8
scaffold_11136	989	8
scaffold_11136	990	8
scaffold_11136	991	8
scaffold_11136	992	8
scaffold_11136	993	8
scaffold_11136	994	8
scaffold_11136	995	8
scaffold_11136	996	8
scaffold_11136	997	8
scaffold_11136	998	8
scaffold_11136	999	8
scaffold_11136	1000	8
scaffold_11136	1001	8
scaffold_11136	1002	8
scaffold_11136	1003	8
scaffold_11136	1004	8
scaffold_11136	1005	7
scaffold_11136	1006	7
scaffold_11136	1007	8
scaffold_11136	1008	8
scaffold_11136	1009	8
scaffold_11136	1010	7
scaffold_11136	1011	7
scaffold_11136	1012	7
scaffold_11136	1013	7
scaffold_11136	1014	7
scaffold_11136	1015	7
scaffold_11136	1016	7
scaffold_11136	1017	7
scaffold_11136	1018	7
scaffold_11136	1019	7
scaffold_11136	1020	7
scaffold_11136	1021	7
scaffold_11136	1022	7
scaffold_11136	1023	7
scaffold_11136	1024	7
scaffold_11136	1025	7
scaffold_11136	1026	7
scaffold_11136	1027	6
scaffold_11136	1028	6
scaffold_11136	1029	7
scaffold_11136	1030	7
scaffold_11136	1031	7
scaffold_11136	1032	7
scaffold_11136	1033	7
scaffold_11136	1034	7
scaffold_11136	1035	9
scaffold_11136	1036	9
scaffold_11136	1037	9
scaffold_11136	1038	9
scaffold_11136	1039	9
scaffold_11136	1040	9
scaffold_11136	1041	9
scaffold_11136	1042	9
scaffold_11136	1043	9
scaffold_11136	1044	9
scaffold_11136	1045	9
scaffold_11136	1046	9
scaffold_11136	1047	9
scaffold_11136	1048	9
scaffold_11136	1049	9
scaffold_11136	1050	9
scaffold_11136	1051	9
scaffold_11136	1052	9
scaffold_11136	1053	8
scaffold_11136	1054	8
scaffold_11136	1055	8
scaffold_11136	1056	8
scaffold_11136	1057	8
scaffold_11136	1058	8
scaffold_11136	1059	8
scaffold_11136	1060	8
scaffold_11136	1061	8
scaffold_11136	1062	8
scaffold_11136	1063	7
scaffold_11136	1064	7
scaffold_11136	1065	7
scaffold_11136	1066	7
scaffold_11136	1067	7
scaffold_11136	1068	7
scaffold_11136	1069	7
scaffold_11136	1070	7
scaffold_11136	1071	6
scaffold_11136	1072	6
scaffold_11136	1073	7
scaffold_11136	1074	7
scaffold_11136	1075	7
scaffold_11136	1076	7
scaffold_11136	1077	7
scaffold_11136	1078	8
scaffold_11136	1079	8
scaffold_11136	1080	8
scaffold_11136	1081	8
scaffold_11136	1082	8
scaffold_11136	1083	8
scaffold_11136	1084	8
scaffold_11136	1085	8
scaffold_11136	1086	8
scaffold_11136	1087	8
scaffold_11136	1088	8
scaffold_11136	1089	8
scaffold_11136	1090	8
scaffold_11136	1091	8
scaffold_11136	1092	8
scaffold_11136	1093	7
scaffold_11136	1094	7
scaffold_11136	1095	7
scaffold_11136	1096	7
scaffold_11136	1097	7
scaffold_11136	1098	7
scaffold_11136	1099	7
scaffold_11136	1100	7
scaffold_11136	1101	7
scaffold_11136	1102	7
scaffold_11136	1103	7
scaffold_11136	1104	7
scaffold_11136	1105	7
scaffold_11136	1106	7
scaffold_11136	1107	7
scaffold_11136	1108	7
scaffold_11136	1109	7
scaffold_11136	1110	7
scaffold_11136	1111	8
scaffold_11136	1112	8
scaffold_11136	1113	8
scaffold_11136	1114	8
scaffold_11136	1115	8
scaffold_11136	1116	8
scaffold_11136	1117	9
scaffold_11136	1118	9
scaffold_11136	1119	9
scaffold_11136	1120	9
scaffold_11136	1121	9
scaffold_11136	1122	9
scaffold_11136	1123	9
scaffold_11136	1124	9
scaffold_11136	1125	10
scaffold_11136	1126	10
scaffold_11136	1127	10
scaffold_11136	1128	10
scaffold_11136	1129	11
scaffold_11136	1130	11
scaffold_11136	1131	12
scaffold_11136	1132	12
scaffold_11136	1133	12
scaffold_11136	1134	11
scaffold_11136	1135	12
scaffold_11136	1136	12
scaffold_11136	1137	12
scaffold_11136	1138	12
scaffold_11136	1139	12
scaffold_11136	1140	12
scaffold_11136	1141	12
scaffold_11136	1142	13
scaffold_11136	1143	13
scaffold_11136	1144	13
scaffold_11136	1145	13
scaffold_11136	1146	13
scaffold_11136	1147	13
scaffold_11136	1148	13
scaffold_11136	1149	13
scaffold_11136	1150	13
scaffold_11136	1151	13
scaffold_11136	1152	13
